,Organisation,Country,ISO Code,Vehicle_Name,Launch_date,Launch_Month,Launch_Year,Rocket_Status,Price,Mission_Status,Decade
23,SpaceX,USA,USA,Falcon 9 Block 5 ,04-06-2020,Jun,2020,StatusActive,50,Success,2020
24,CASC,China,CHN,Long March 2D ,31-05-2020,May,2020,StatusActive,29.75,Success,2020
25,SpaceX,USA,USA,Falcon 9 Block 5 ,30-05-2020,May,2020,StatusActive,50,Success,2020
26,CASC,China,CHN,Long March 11 ,29-05-2020,May,2020,StatusActive,5.3,Success,2020
27,Virgin Orbit,USA,USA,LauncherOne ,25-05-2020,May,2020,StatusActive,12,Failure,2020
28,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat-M ,22-05-2020,May,2020,StatusActive,48.5,Success,2020
29,MHI,Japan,JPN,H-IIB ,20-05-2020,May,2020,StatusRetired,112.5,Success,2020
30,ULA,USA,USA,Atlas V 501 ,17-05-2020,May,2020,StatusActive,120,Success,2020
31,ExPace,China,CHN,Kuaizhou 1A ,12-05-2020,May,2020,StatusActive,28.3,Success,2020
32,CASC,China,CHN,Long March 5B ,05-05-2020,May,2020,StatusActive,29.75,Success,2020
33,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,25-04-2020,Apr,2020,StatusActive,48.5,Success,2020
34,SpaceX,USA,USA,Falcon 9 Block 5 ,22-04-2020,Apr,2020,StatusActive,50,Success,2020
35,IRGC,Iran,IRN,Qased ,22-04-2020,Apr,2020,StatusActive,62,Success,2020
36,CASC,China,CHN,Long March 3B/E ,09-04-2020,Apr,2020,StatusActive,29.15,Failure,2020
37,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,09-04-2020,Apr,2020,StatusActive,48.5,Success,2020
38,ULA,USA,USA,Atlas V 551 ,26-03-2020,Mar,2020,StatusActive,153,Success,2020
39,CASC,China,CHN,Long March 2C ,24-03-2020,Mar,2020,StatusActive,30.8,Success,2020
40,Arianespace,Kazakhstan,KAZ,Soyuz 2.1b/Fregat ,21-03-2020,Mar,2020,StatusActive,48.5,Success,2020
41,SpaceX,USA,USA,Falcon 9 Block 5 ,18-03-2020,Mar,2020,StatusActive,50,Success,2020
42,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat-M ,16-03-2020,Mar,2020,StatusActive,48.5,Success,2020
43,CASC,China,CHN,Long March 7A ,16-03-2020,Mar,2020,StatusActive,29.75,Failure,2020
44,CASC,China,CHN,Long March 3B/E ,09-03-2020,Mar,2020,StatusActive,29.15,Success,2020
45,SpaceX,USA,USA,Falcon 9 Block 5 ,07-03-2020,Mar,2020,StatusActive,50,Success,2020
46,VKS RF,Russia,RUS,Soyuz 2.1a/Fregat-M ,20-02-2020,Feb,2020,StatusActive,48.5,Success,2020
47,CASC,China,CHN,Long March 2D ,19-02-2020,Feb,2020,StatusActive,29.75,Success,2020
48,Arianespace,France,FRA,Ariane 5 ECA ,18-02-2020,Feb,2020,StatusActive,200,Success,2020
49,SpaceX,USA,USA,Falcon 9 Block 5 ,17-02-2020,Feb,2020,StatusActive,50,Success,2020
50,Northrop,USA,USA,Antares 230+ ,15-02-2020,Feb,2020,StatusActive,85,Success,2020
51,ULA,USA,USA,Atlas V 411 ,10-02-2020,Feb,2020,StatusActive,115,Success,2020
52,ISA,Iran,IRN,Simorgh ,09-02-2020,Feb,2020,StatusActive,62,Failure,2020
53,MHI,Japan,JPN,H-IIA 202 ,09-02-2020,Feb,2020,StatusActive,90,Success,2020
54,Arianespace,Kazakhstan,KAZ,Soyuz 2.1b/Fregat ,06-02-2020,Feb,2020,StatusActive,48.5,Success,2020
55,Rocket Lab,New Zealand,NZL,Electron/Curie ,31-01-2020,Jan,2020,StatusActive,7.5,Success,2020
56,SpaceX,USA,USA,Falcon 9 Block 5 ,29-01-2020,Jan,2020,StatusActive,50,Success,2020
57,SpaceX,USA,USA,Falcon 9 Block 5 ,19-01-2020,Jan,2020,StatusActive,50,Success,2020
58,Arianespace,France,FRA,Ariane 5 ECA ,16-01-2020,Jan,2020,StatusActive,200,Success,2020
59,ExPace,China,CHN,Kuaizhou 1A ,16-01-2020,Jan,2020,StatusActive,28.3,Success,2020
60,CASC,China,CHN,Long March 2D ,15-01-2020,Jan,2020,StatusActive,29.75,Success,2020
61,CASC,China,CHN,Long March 3B/E ,07-01-2020,Jan,2020,StatusActive,29.15,Success,2020
62,SpaceX,USA,USA,Falcon 9 Block 5 ,07-01-2020,Jan,2020,StatusActive,50,Success,2020
63,CASC,China,CHN,Long March 5 ,27-12-2019,Dec,2019,StatusActive,29.75,Success,2010
64,VKS RF,Russia,RUS,Rokot/Briz KM ,26-12-2019,Dec,2019,StatusRetired,41.8,Success,2010
65,Roscosmos,Kazakhstan,KAZ,Proton-M/DM-3 ,24-12-2019,Dec,2019,StatusActive,65,Success,2010
66,ULA,USA,USA,Atlas V N22 ,20-12-2019,Dec,2019,StatusActive,123,Success,2010
67,CASC,China,CHN,Long March 4B ,20-12-2019,Dec,2019,StatusActive,64.68,Success,2010
68,Arianespace,France,FRA,Soyuz ST-A/Fregat-M ,18-12-2019,Dec,2019,StatusActive,200,Success,2010
69,SpaceX,USA,USA,Falcon 9 Block 5 ,17-12-2019,Dec,2019,StatusActive,50,Success,2010
70,CASC,China,CHN,Long March 3B/YZ-1 ,16-12-2019,Dec,2019,StatusActive,29.75,Success,2010
71,Blue Origin,USA,USA,New Shepard ,11-12-2019,Dec,2019,StatusActive,62,Success,2010
72,ISRO,India,IND,PSLV-QL ,11-12-2019,Dec,2019,StatusActive,21,Success,2010
73,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat ,11-12-2019,Dec,2019,StatusActive,48.5,Success,2010
74,ExPace,China,CHN,Kuaizhou 1A ,07-12-2019,Dec,2019,StatusActive,28.3,Success,2010
75,ExPace,China,CHN,Kuaizhou 1A ,07-12-2019,Dec,2019,StatusActive,28.3,Success,2010
76,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,06-12-2019,Dec,2019,StatusActive,48.5,Success,2010
77,Rocket Lab,New Zealand,NZL,Electron/Curie ,06-12-2019,Dec,2019,StatusActive,7.5,Success,2010
78,SpaceX,USA,USA,Falcon 9 Block 5 ,05-12-2019,Dec,2019,StatusActive,50,Success,2010
79,CASC,China,CHN,Long March 4C ,27-11-2019,Nov,2019,StatusActive,64.68,Success,2010
80,ISRO,India,IND,PSLV-XL ,27-11-2019,Nov,2019,StatusActive,31,Success,2010
81,Arianespace,France,FRA,Ariane 5 ECA ,26-11-2019,Nov,2019,StatusActive,200,Success,2010
82,VKS RF,Russia,RUS,Soyuz 2.1v/Volga ,25-11-2019,Nov,2019,StatusActive,41.8,Success,2010
83,CASC,China,CHN,Long March 3B/YZ-1 ,23-11-2019,Nov,2019,StatusActive,29.75,Success,2010
84,ExPace,China,CHN,Kuaizhou 1A ,17-11-2019,Nov,2019,StatusActive,28.3,Success,2010
85,CASC,China,CHN,Long March 6 ,13-11-2019,Nov,2019,StatusActive,29.75,Success,2010
86,ExPace,China,CHN,Kuaizhou 1A ,13-11-2019,Nov,2019,StatusActive,28.3,Success,2010
87,SpaceX,USA,USA,Falcon 9 Block 5 ,11-11-2019,Nov,2019,StatusActive,50,Success,2010
88,CASC,China,CHN,Long March 3B/E ,04-11-2019,Nov,2019,StatusActive,29.15,Success,2010
89,CASC,China,CHN,Long March 4B ,03-11-2019,Nov,2019,StatusActive,64.68,Success,2010
90,Northrop,USA,USA,Antares 230+ ,02-11-2019,Nov,2019,StatusActive,85,Success,2010
91,Exos,New Mexico,USA,SARGE ,26-10-2019,Oct,2019,StatusActive,62,Failure,2010
92,CASC,China,CHN,Long March 3B/E ,17-10-2019,Oct,2019,StatusActive,29.15,Success,2010
93,Rocket Lab,New Zealand,NZL,Electron/Curie ,17-10-2019,Oct,2019,StatusActive,7.5,Success,2010
94,Northrop,USA,USA,Pegasus XL ,11-10-2019,Oct,2019,StatusActive,40,Success,2010
95,ILS,Kazakhstan,KAZ,Proton-M/Briz-M ,09-10-2019,Oct,2019,StatusActive,65,Success,2010
96,CASC,China,CHN,Long March 4C ,04-10-2019,Oct,2019,StatusActive,64.68,Success,2010
97,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat ,26-09-2019,Sep,2019,StatusActive,48.5,Success,2010
98,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,25-09-2019,Sep,2019,StatusRetired,48.5,Success,2010
99,CASC,China,CHN,Long March 2D ,25-09-2019,Sep,2019,StatusActive,29.75,Success,2010
100,MHI,Japan,JPN,H-IIB ,24-09-2019,Sep,2019,StatusRetired,112.5,Success,2010
101,CASC,China,CHN,Long March 3B/YZ-1 ,22-09-2019,Sep,2019,StatusActive,29.75,Success,2010
102,CASC,China,CHN,Long March 11 ,19-09-2019,Sep,2019,StatusActive,5.3,Success,2010
103,CASC,China,CHN,Long March 4B ,12-09-2019,Sep,2019,StatusActive,64.68,Success,2010
104,ExPace,China,CHN,Kuaizhou 1A ,30-08-2019,Aug,2019,StatusActive,28.3,Success,2010
105,VKS RF,Russia,RUS,Rokot/Briz KM ,30-08-2019,Aug,2019,StatusRetired,41.8,Success,2010
106,ISA,Iran,IRN,Safir-1B+ ,29-08-2019,Aug,2019,StatusActive,62,Prelaunch Failure,2010
107,ULA,USA,USA,"Delta IV Medium+ (4,2) ",22-08-2019,Aug,2019,StatusRetired,164,Success,2010
108,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,22-08-2019,Aug,2019,StatusActive,48.5,Success,2010
109,Rocket Lab,New Zealand,NZL,Electron/Curie ,19-08-2019,Aug,2019,StatusActive,7.5,Success,2010
110,CASC,China,CHN,Long March 3B/E ,19-08-2019,Aug,2019,StatusActive,29.15,Success,2010
111,CASC,China,CHN,Jielong-1 ,17-08-2019,Aug,2019,StatusActive,7.5,Success,2010
112,ULA,USA,USA,Atlas V 551 ,08-08-2019,Aug,2019,StatusActive,153,Success,2010
113,SpaceX,USA,USA,Falcon 9 Block 5 ,06-08-2019,Aug,2019,StatusActive,50,Success,2010
114,Arianespace,France,FRA,Ariane 5 ECA ,06-08-2019,Aug,2019,StatusActive,200,Success,2010
115,Roscosmos,Kazakhstan,KAZ,Proton-M/Briz-M ,05-08-2019,Aug,2019,StatusActive,65,Success,2010
116,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,31-07-2019,Jul,2019,StatusActive,48.5,Success,2010
117,VKS RF,Russia,RUS,Soyuz 2.1a/Fregat-M ,30-07-2019,Jul,2019,StatusActive,48.5,Success,2010
118,CASC,China,CHN,Long March 2C ,26-07-2019,Jul,2019,StatusActive,30.8,Success,2010
119,SpaceX,USA,USA,Falcon 9 Block 5 ,25-07-2019,Jul,2019,StatusActive,50,Success,2010
120,i-Space,China,CHN,Hyperbola-1 ,25-07-2019,Jul,2019,StatusActive,62,Success,2010
121,ISRO,India,IND,GSLV Mk III ,22-07-2019,Jul,2019,StatusActive,62,Success,2010
122,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,20-07-2019,Jul,2019,StatusRetired,48.5,Success,2010
123,Roscosmos,Kazakhstan,KAZ,Proton-M/DM-3 ,13-07-2019,Jul,2019,StatusActive,65,Success,2010
124,Arianespace,France,FRA,Vega ,11-07-2019,Jul,2019,StatusActive,37,Failure,2010
125,VKS RF,Russia,RUS,Soyuz 2.1v/Volga ,10-07-2019,Jul,2019,StatusActive,41.8,Success,2010
126,Roscosmos,Russia,RUS,Soyuz 2.1b/Fregat-M ,05-07-2019,Jul,2019,StatusActive,48.5,Success,2010
127,Exos,New Mexico,USA,SARGE ,29-06-2019,Jun,2019,StatusActive,62,Partial Failure,2010
128,Rocket Lab,New Zealand,NZL,Electron/Curie ,29-06-2019,Jun,2019,StatusActive,7.5,Success,2010
129,SpaceX,USA,USA,Falcon Heavy ,25-06-2019,Jun,2019,StatusActive,90,Success,2010
130,CASC,China,CHN,Long March 3B/E ,24-06-2019,Jun,2019,StatusActive,29.15,Success,2010
131,Arianespace,France,FRA,Ariane 5 ECA ,20-06-2019,Jun,2019,StatusActive,200,Success,2010
132,SpaceX,USA,USA,Falcon 9 Block 5 ,12-06-2019,Jun,2019,StatusActive,50,Success,2010
133,CASC,China,CHN,Long March 11H ,05-06-2019,Jun,2019,StatusActive,5.3,Success,2010
134,Roscosmos,Kazakhstan,KAZ,Proton-M/Briz-M ,30-05-2019,May,2019,StatusActive,65,Success,2010
135,Roscosmos,Russia,RUS,Soyuz 2.1b/Fregat-M ,27-05-2019,May,2019,StatusActive,48.5,Success,2010
136,SpaceX,USA,USA,Falcon 9 Block 5 ,24-05-2019,May,2019,StatusActive,50,Success,2010
137,CASC,China,CHN,Long March 4C ,22-05-2019,May,2019,StatusActive,64.68,Failure,2010
138,ISRO,India,IND,PSLV-CA ,22-05-2019,May,2019,StatusActive,21,Success,2010
139,CASC,China,CHN,Long March 3C/E ,17-05-2019,May,2019,StatusActive,29.75,Success,2010
140,Rocket Lab,New Zealand,NZL,Electron/Curie ,05-05-2019,May,2019,StatusActive,7.5,Success,2010
141,SpaceX,USA,USA,Falcon 9 Block 5 ,04-05-2019,May,2019,StatusActive,50,Success,2010
142,Blue Origin,USA,USA,New Shepard ,02-05-2019,May,2019,StatusActive,62,Success,2010
143,CASC,China,CHN,Long March 4B ,29-04-2019,Apr,2019,StatusActive,64.68,Success,2010
144,CASC,China,CHN,Long March 3B/E ,20-04-2019,Apr,2019,StatusActive,29.15,Success,2010
145,Northrop,USA,USA,Antares 230 ,17-04-2019,Apr,2019,StatusRetired,85,Success,2010
146,SpaceX,USA,USA,Falcon Heavy ,11-04-2019,Apr,2019,StatusActive,90,Success,2010
147,Arianespace,France,FRA,Soyuz ST-B/Fregat-MT ,04-04-2019,Apr,2019,StatusActive,200,Success,2010
148,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,04-04-2019,Apr,2019,StatusActive,48.5,Success,2010
149,ISRO,India,IND,PSLV-QL ,01-04-2019,Apr,2019,StatusActive,21,Success,2010
150,CASC,China,CHN,Long March 3B/E ,31-03-2019,Mar,2019,StatusActive,29.15,Success,2010
151,Rocket Lab,New Zealand,NZL,Electron/Curie ,28-03-2019,Mar,2019,StatusActive,7.5,Success,2010
152,OneSpace,China,CHN,OS-M1 ,27-03-2019,Mar,2019,StatusActive,62,Failure,2010
153,Arianespace,France,FRA,Vega ,22-03-2019,Mar,2019,StatusActive,37,Success,2010
154,ULA,USA,USA,"Delta IV Medium+ (5,4) ",16-03-2019,Mar,2019,StatusRetired,123,Success,2010
155,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,14-03-2019,Mar,2019,StatusRetired,48.5,Success,2010
156,CASC,China,CHN,Long March 3B/E ,09-03-2019,Mar,2019,StatusActive,29.15,Success,2010
157,Exos,New Mexico,USA,SARGE ,02-03-2019,Mar,2019,StatusActive,62,Partial Failure,2010
158,SpaceX,USA,USA,Falcon 9 Block 5 ,02-03-2019,Mar,2019,StatusActive,50,Success,2010
159,Arianespace,France,FRA,Soyuz ST-B/Fregat-M ,27-02-2019,Feb,2019,StatusActive,200,Success,2010
160,SpaceX,USA,USA,Falcon 9 Block 5 ,22-02-2019,Feb,2019,StatusActive,50,Success,2010
161,VKS RF,Kazakhstan,KAZ,Soyuz 2.1b/Fregat-M ,21-02-2019,Feb,2019,StatusActive,41.8,Success,2010
162,Arianespace,France,FRA,Ariane 5 ECA ,05-02-2019,Feb,2019,StatusActive,200,Success,2010
163,ISA,Iran,IRN,Safir-1B+ ,05-02-2019,Feb,2019,StatusActive,62,Failure,2010
164,ISRO,India,IND,PSLV-DL ,24-01-2019,Jan,2019,StatusActive,31,Success,2010
165,Blue Origin,USA,USA,New Shepard ,23-01-2019,Jan,2019,StatusActive,62,Success,2010
166,CASC,China,CHN,Long March 11 ,21-01-2019,Jan,2019,StatusActive,5.3,Success,2010
167,ULA,USA,USA,Delta IV Heavy ,19-01-2019,Jan,2019,StatusActive,350,Success,2010
168,JAXA,Japan,JPN,Epsilon PBS ,18-01-2019,Jan,2019,StatusActive,39,Success,2010
169,ISA,Iran,IRN,Simorgh ,15-01-2019,Jan,2019,StatusActive,62,Failure,2010
170,SpaceX,USA,USA,Falcon 9 Block 5 ,11-01-2019,Jan,2019,StatusActive,50,Success,2010
171,CASC,China,CHN,Long March 3B/E ,10-01-2019,Jan,2019,StatusActive,29.15,Success,2010
172,CASC,China,CHN,Long March 2D/YZ-3 ,29-12-2018,Dec,2018,StatusActive,29.75,Success,2010
173,Roscosmos,Russia,RUS,Soyuz 2.1a/Fregat ,27-12-2018,Dec,2018,StatusActive,48.5,Success,2010
174,CASC,China,CHN,Long March 3C/E ,24-12-2018,Dec,2018,StatusActive,29.75,Success,2010
175,SpaceX,USA,USA,Falcon 9 Block 5 ,23-12-2018,Dec,2018,StatusActive,50,Success,2010
176,CASC,China,CHN,Long March 11 ,21-12-2018,Dec,2018,StatusActive,5.3,Success,2010
177,VKS RF,Kazakhstan,KAZ,Proton-M/Briz-M ,21-12-2018,Dec,2018,StatusActive,65,Success,2010
178,Arianespace,France,FRA,Soyuz ST-A/Fregat-M ,19-12-2018,Dec,2018,StatusActive,200,Success,2010
179,ISRO,India,IND,GSLV Mk II ,19-12-2018,Dec,2018,StatusActive,47,Success,2010
180,Rocket Lab,New Zealand,NZL,Electron/Curie ,16-12-2018,Dec,2018,StatusActive,7.5,Success,2010
181,CASC,China,CHN,Long March 3B/E ,07-12-2018,Dec,2018,StatusActive,29.15,Success,2010
182,CASC,China,CHN,Long March 2D ,07-12-2018,Dec,2018,StatusActive,29.75,Success,2010
183,SpaceX,USA,USA,Falcon 9 Block 5 ,05-12-2018,Dec,2018,StatusActive,50,Success,2010
184,Arianespace,France,FRA,Ariane 5 ECA ,04-12-2018,Dec,2018,StatusActive,200,Success,2010
185,SpaceX,USA,USA,Falcon 9 Block 5 ,03-12-2018,Dec,2018,StatusActive,50,Success,2010
186,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,03-12-2018,Dec,2018,StatusRetired,48.5,Success,2010
187,VKS RF,Russia,RUS,Rokot/Briz KM ,30-11-2018,Nov,2018,StatusRetired,41.8,Success,2010
188,ISRO,India,IND,PSLV-CA ,29-11-2018,Nov,2018,StatusActive,21,Success,2010
189,Arianespace,France,FRA,Vega ,21-11-2018,Nov,2018,StatusActive,37,Success,2010
190,CASC,China,CHN,Long March 2D ,19-11-2018,Nov,2018,StatusActive,29.75,Success,2010
191,CASC,China,CHN,Long March 3B/YZ-1 ,18-11-2018,Nov,2018,StatusActive,29.75,Success,2010
192,Northrop,USA,USA,Antares 230 ,17-11-2018,Nov,2018,StatusRetired,85,Success,2010
193,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,16-11-2018,Nov,2018,StatusRetired,48.5,Success,2010
194,SpaceX,USA,USA,Falcon 9 Block 5 ,15-11-2018,Nov,2018,StatusActive,50,Success,2010
195,ISRO,India,IND,GSLV Mk III ,14-11-2018,Nov,2018,StatusActive,62,Success,2010
196,Rocket Lab,New Zealand,NZL,Electron/Curie ,11-11-2018,Nov,2018,StatusActive,7.5,Success,2010
197,Arianespace,France,FRA,Soyuz ST-B/Fregat-M ,07-11-2018,Nov,2018,StatusActive,200,Success,2010
198,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat ,03-11-2018,Nov,2018,StatusActive,48.5,Success,2010
199,CASC,China,CHN,Long March 3B/E ,01-11-2018,Nov,2018,StatusActive,29.15,Success,2010
200,MHI,Japan,JPN,H-IIA 202 ,29-10-2018,Oct,2018,StatusActive,90,Success,2010
201,CASC,China,CHN,Long March 2C ,29-10-2018,Oct,2018,StatusActive,30.8,Success,2010
202,Landspace,China,CHN,ZhuQue-1 ,27-10-2018,Oct,2018,StatusRetired,62,Failure,2010
203,Roscosmos,Russia,RUS,Soyuz 2.1b ,25-10-2018,Oct,2018,StatusActive,35,Success,2010
204,CASC,China,CHN,Long March 4B ,24-10-2018,Oct,2018,StatusActive,64.68,Success,2010
205,Arianespace,France,FRA,Ariane 5 ECA ,20-10-2018,Oct,2018,StatusActive,200,Success,2010
206,ULA,USA,USA,Atlas V 551 ,17-10-2018,Oct,2018,StatusActive,153,Success,2010
207,CASC,China,CHN,Long March 3B/YZ-1 ,15-10-2018,Oct,2018,StatusActive,29.75,Success,2010
208,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,11-10-2018,Oct,2018,StatusRetired,48.5,Failure,2010
209,CASC,China,CHN,Long March 2C ,09-10-2018,Oct,2018,StatusActive,30.8,Success,2010
210,SpaceX,USA,USA,Falcon 9 Block 5 ,08-10-2018,Oct,2018,StatusActive,50,Success,2010
211,ExPace,China,CHN,Kuaizhou 1A ,29-09-2018,Sep,2018,StatusActive,28.3,Success,2010
212,Arianespace,France,FRA,Ariane 5 ECA ,25-09-2018,Sep,2018,StatusActive,200,Success,2010
213,MHI,Japan,JPN,H-IIB ,22-09-2018,Sep,2018,StatusRetired,112.5,Success,2010
214,CASC,China,CHN,Long March 3B/YZ-1 ,19-09-2018,Sep,2018,StatusActive,29.75,Success,2010
215,ISRO,India,IND,PSLV-CA ,16-09-2018,Sep,2018,StatusActive,21,Success,2010
216,ULA,USA,USA,Delta II 7420-10C ,15-09-2018,Sep,2018,StatusRetired,123,Success,2010
217,SpaceX,USA,USA,Falcon 9 Block 5 ,10-09-2018,Sep,2018,StatusActive,50,Success,2010
218,CASC,China,CHN,Long March 2C ,07-09-2018,Sep,2018,StatusActive,30.8,Success,2010
219,Exos,New Mexico,USA,SARGE ,25-08-2018,Aug,2018,StatusActive,62,Partial Failure,2010
220,CASC,China,CHN,Long March 3B/YZ-1 ,24-08-2018,Aug,2018,StatusActive,29.75,Success,2010
221,Arianespace,France,FRA,Vega ,22-08-2018,Aug,2018,StatusActive,37,Success,2010
222,ULA,USA,USA,Delta IV Heavy ,12-08-2018,Aug,2018,StatusActive,350,Success,2010
223,SpaceX,USA,USA,Falcon 9 Block 5 ,07-08-2018,Aug,2018,StatusActive,50,Success,2010
224,CASC,China,CHN,Long March 4B ,31-07-2018,Jul,2018,StatusActive,64.68,Success,2010
225,CASC,China,CHN,Long March 3B/YZ-1 ,29-07-2018,Jul,2018,StatusActive,29.75,Success,2010
226,SpaceX,USA,USA,Falcon 9 Block 5 ,25-07-2018,Jul,2018,StatusActive,50,Success,2010
227,Arianespace,France,FRA,Ariane 5 ES ,25-07-2018,Jul,2018,StatusRetired,200,Success,2010
228,SpaceX,USA,USA,Falcon 9 Block 5 ,22-07-2018,Jul,2018,StatusActive,50,Success,2010
229,Blue Origin,USA,USA,New Shepard ,18-07-2018,Jul,2018,StatusActive,62,Success,2010
230,Roscosmos,Kazakhstan,KAZ,Soyuz 2.1a ,09-07-2018,Jul,2018,StatusActive,48.5,Success,2010
231,CASC,China,CHN,Long March 3A ,09-07-2018,Jul,2018,StatusActive,69.7,Success,2010
232,CASC,China,CHN,Long March 2C ,09-07-2018,Jul,2018,StatusActive,30.8,Success,2010
233,SpaceX,USA,USA,Falcon 9 Block 4 ,29-06-2018,Jun,2018,StatusRetired,62,Success,2010
234,CASC,China,CHN,Long March 2C ,27-06-2018,Jun,2018,StatusActive,30.8,Success,2010
235,VKS RF,Russia,RUS,Soyuz 2.1b/Fregat-M ,16-06-2018,Jun,2018,StatusActive,41.8,Success,2010
236,MHI,Japan,JPN,H-IIA 202 ,12-06-2018,Jun,2018,StatusActive,90,Success,2010
237,Roscosmos,Kazakhstan,KAZ,Soyuz FG ,06-06-2018,Jun,2018,StatusRetired,48.5,Success,2010
238,CASC,China,CHN,Long March 3A ,05-06-2018,Jun,2018,StatusActive,69.7,Success,2010
239,SpaceX,USA,USA,Falcon 9 Block 4 ,04-06-2018,Jun,2018,StatusRetired,62,Success,2010
240,CASC,China,CHN,Long March 2D ,02-06-2018,Jun,2018,StatusActive,29.75,Success,2010
241,SpaceX,USA,USA,Falcon 9 Block 4 ,22-05-2018,May,2018,StatusRetired,62,Success,2010
242,Northrop,USA,USA,Antares 230 ,21-05-2018,May,2018,StatusRetired,85,Success,2010
243,CASC,China,CHN,Long March 4C ,20-05-2018,May,2018,StatusActive,64.68,Success,2010
244,SpaceX,USA,USA,Falcon 9 Block 5 ,11-05-2018,May,2018,StatusActive,50,Success,2010
245,CASC,China,CHN,Long March 4C ,08-05-2018,May,2018,StatusActive,64.68,Success,2010
246,ULA,USA,USA,Atlas V 401 ,05-05-2018,May,2018,StatusActive,109,Success,2010
247,CASC,China,CHN,Long March 3B/E ,03-05-2018,May,2018,StatusActive,29.15,Success,2010
248,Blue Origin,USA,USA,New Shepard ,29-04-2018,Apr,2018,StatusActive,62,Success,2010
249,CASC,China,CHN,Long March 11 ,26-04-2018,Apr,2018,StatusActive,5.3,Success,2010
250,Eurockot,Russia,RUS,Rokot/Briz KM ,25-04-2018,Apr,2018,StatusRetired,41.8,Success,2010
251,SpaceX,USA,USA,Falcon 9 Block 4 ,18-04-2018,Apr,2018,StatusRetired,62,Success,2010
252,VKS RF,Kazakhstan,KAZ,Proton-M/Briz-M ,18-04-2018,Apr,2018,StatusActive,65,Success,2010
253,ULA,USA,USA,Atlas V 551 ,14-04-2018,Apr,2018,StatusActive,153,Success,2010
